Nombre,ComunidadAutonoma,Provincia,RuralUrbano,CostaInterior,Monumentos,Naturaleza,Fiesta,Comida,DescansoTurismo,QueVer,ModeloA,ModeloB,ModeloC,ModeloD,ModeloE
A Coruna,Galicia,Coruna,Urbano,Costa,8,3,7,7,Turismo,Paseo Maritimo. Plaza Santa Barbara. Torre de Hercules.,6,1,4,10,8
Muros,Galicia,Coruna,Rural,Costa,4,7,3,7,Descanso,Casco Antiguo. Iglesia Parroquial. El Muino de Mare do Pozo de Cachon.,4,2,10,10,6
Betanzoz,Galicia,Coruna,Rural,Interior,6,8,2,6,Descanso,Iglesia de Santiago. Iglesia de San Francisco. Iglesia de Sana Maria de Azoague,7,8,2,9,1
Noia,Galicia,Coruna,Rural,Costa,8,6,3,6,Descanso,Ponte de Traba. Iglesia de Santa Maria a Nova. Casco Antiguo.,2,8,10,6,1
Pontevedra,Galicia,Pontevedra,Urbano,Interior,7,2,4,5,Turismo,Iglesia de la Virgen Peregrina. Real Basilica de Santa maria la Mayor. Pazo de Laurizan.,6,7,7,2,1
Vigo,Galicia,Pontevedra,Urbano,Costa,8,3,7,8,Turismo,Islas Cies. Parques Forestales.  Barrio de Bouzas.,10,7,4,6,9
Cambados,Galicia,Pontevedra,Rural,Costa,6,4,6,7,Turismo,Ruinas de Santa Marina. Plaza de Fefinanes. Iglesia de San Benito.,1,0,7,1,7
Combarro,Galicia,Pontevedra,Rural,Costa,8,4,3,6,Descanso,Horreos. Monasterios de San Xoan de Poio. Puerto de Combarro.,6,2,2,1,9
Lugo,Galicia,Lugo,Urbano,Interior,7,2,6,8,Turismo,Muralla Romana. Catedral de Lugo. Parque de Mino.,8,1,7,1,2
Mondonedo,Galicia,Lugo,Rural,Interior,6,6,3,8,Descanso,Catedral de Mondonedo. Iglesia de Santiago. Restos arqueologicos.,10,7,10,2,9
Ribadeo,Galicia,Lugo,Rural,Costa,4,7,5,7,Descanso,Playa de las Catedrales. Casco historico. Palacio de Ibanez.,8,4,7,3,6
Portomarin,Galicia,Lugo,Rural,Interior,5,6,3,8,Descanso,Paseo de  Portomarin. Pazos de Conde da Maza. Iglesia Fortaleza de San Nicolas.,7,10,8,0,7
Ourense,Galicia,Ourense,Urbano,Interior,7,3,7,8,Turismo,Aguas Termales. Catedral de San Martin de Orense. Puente Romano.,5,4,1,8,3
